Country,ISO Country Code,Population,GDP per capita (nominal),% use social media,% use social media on mobile,% bought online on mobile,Avg time spent on social media,Avg mobile data speed
Singapore,SG,"5,469,700","56,112",66%,59%,23%,2.5,16.85
Hong Kong,HK,"7,234,800","40,304",64%,58%,23%,1.8,8.71
United Arab Emirates,AE,"9,445,624","44,770",57%,48%,27%,3.6,7.55
Australia,AU,"23,630,169","62,822",57%,51%,15%,2.1,7.35
Malaysia,MY,"30,187,896","11,062",55%,49%,19%,3.5,2.48
Saudi Arabia,SA,"30,770,375","25,401",29%,25%,15%,3,2.77
Canada,CA,"35,675,834","56,067",56%,45%,13%,2.1,9.55
Poland,PL,"38,483,957","13,648",34%,24%,14%,2.1,8.52
Argentina,AR,"42,669,500","12,778",60%,46%,0,4.3,2.09
Spain,ES,"46,464,053","30,113",47%,38%,0,1.9,4.66
South Korea,KR,"51,302,044","28,738",30%,27%,37%,1.3,12.97
South Africa,ZA,"54,002,000","6,354",22%,20%,11%,3.2,2.94
Italy,IT,"61,070,224","35,512",46%,36%,0,2.5,5.4
United Kingdom,GB,"63,489,234","46,243",59%,50%,19%,2.2,4.96
France,FR,"66,616,416","45,384",45%,36%,12%,2,8.37
Thailand,TH,"67,200,000","5,763",49%,43%,11%,3.8,0.91
Turkey,TR,"77,695,904","10,518",52%,42%,19%,2.9,3.12
Germany,DE,"80,716,000","47,201",35%,30%,20%,2.1,6.14
Vietnam,VN,"90,630,000","2,072",31%,26%,15%,3.1,1.38
Philippines,PH,"100,617,630","2,913",40%,32%,11%,4.3,1.72
Mexico,MX,"123,799,215","10,767",46%,40%,14%,3.9,4.02
Japan,JP,"126,434,964","37,540",19%,17%,6%,0.7,11.44
Russia,RU,"142,467,651","14,317",46%,26%,8%,2.6,2.96
Brazil,BR,"202,768,562","11,067",47%,38%,15%,3.8,1.96
Indonesia,ID,"252,164,800","3,587",28%,24%,9%,2.9,1.04
USA,US,"322,583,006","54,710",58%,50%,18%,2.7,9.55
India,IN,"1,267,401,849","1,626",9%,8%,9%,2.5,1.12
China,CN,"1,393,783,836","8,211",46%,37%,27%,1.7,2.86
